"ID","Author","Year","Kingdom","Species","Method","yi","vi","se"
"12","Nantel & Gagnon",1999,"Plant","Helianthus divaricatus","GD",0.478960623367217,2.09893500516034,1.44877016988905
"17","Stokes et al.",2004,"Plant","Ulex gallii","GD",0.885785716394576,0.244094665033286,0.494059373995966
"17","Stokes et al.",2004,"Plant","Ulex minor","GD",-0.913174169003244,0.24557639727125,0.495556653947104
"10","Kluth & Bruelheide",2005,"Plant","Hornungia petraea","GD",-0.145644702594572,0.222910833207372,0.472134338093907
"2","Angert",2006,"Plant","Erythranthe cardinalis","GD",-3.33399522268642,0.874417801718179,0.935103096839155
"2","Angert",2006,"Plant","Erythranthe lewisii","GD",1.79909600093877,0.401312372164067,0.633492203712143
"8","Garcia et al.",2010,"Plant","Cypripedium calcicola","GD",0.202866793245928,0.291824311545137,0.540207655948281
"18","Villellas et al.",2013,"Plant","Plantago coronopus","GD",0.0356362854310665,0.453969610337168,0.673772669627648
"5","Baer and Maron",2018,"Plant","Astragalus utahensis","GD",1.62048812517027,1.61770241839538,1.2718893105909
"16","Souza et al.",2018,"Plant","Euterpe edulis","GD",1.48178561291961,1.27446107533194,1.12892031398675
"6","Bayly and Angert",2019,"Plant","Erythranthe cardinalis","GD",-0.551722299620835,0.701922201548255,0.83780797414936
"14","Reed ",2020,"Plant","Ranunculus austrooreganus","GD",0.056076128421127,0.0776895621839245,0.278728473938212
"14","Reed ",2020,"Plant","Sidalcea malviflora","GD",-0.121662035383939,0.0991979926712117,0.314957128306714
"14","Reed ",2020,"Plant","Microseris laciniata","GD",0.0306080216992479,0.0666884770562287,0.258241121931091
"1","Aikens & Roach",2014,"Plant","Prenanthes roanensis","GD",1.39273706202128,2.51148062467578,1.58476516388889
"3","Araujo et al.",2014,"Plant","Fucus serratus","GD",0.845610528272099,2.22631696369706,1.49208477094871
"4","Baer & Maron",2018,"Plant","Astragalus utahensis","GD",0.265484876038667,1.01130471600845,1.00563647308978
"7","Doak & Morris",2010,"Plant","Polygonum viviparum","GD",0.50845810113665,0.501188605737233,0.707946753461892
"7","Doak & Morris",2010,"Plant","Polygonum viviparum","GD",0.578038313073088,0.514758446949102,0.71746668699606
"7","Doak & Morris",2010,"Plant","Silene acaulis","GD",-1.6122198911481,0.926748711767588,0.962677885778825
"7","Doak & Morris",2010,"Plant","Silene acaulis","GD",-0.854607933723443,0.347780219518747,0.589728937325232
"8","Garcia et al.",2010,"Plant","Cypripedium calceolus","GD",0.114398642357495,0.356534260894802,0.597104899406128
"12","Nantel & Gagnon",1999,"Plant","Helianthus divaricatus","GD",0.715129332769946,2.25406460194147,1.50135425597741
"12","Nantel & Gagnon",1999,"Plant","Rhus aromatica","GD",-0.0838168496827926,2.00348417071346,1.41544486671628
"15","Sheth & Angert",2018,"Plant","Erythranthe cardinalis","GD",0.247117098040579,1.01045438398923,1.005213601176
"15","Sheth & Angert",2018,"Plant","Erythranthe cardinalis","GD",1.13088866919575,1.24223261311554,1.11455489461737
"13","Pironon et al",2015,"Plant","Persicaria vivipara","GD",-0.106235982310071,0.335495955332514,0.57922012683652
"13","Pironon et al",2015,"Plant","Plantago coronopus","GD",0.0438983588341358,0.334560053529609,0.578411664413511
"13","Pironon et al",2015,"Plant","Silene acaulis","GD",1.21682677619856,0.482434087266155,0.694574752828056
"13","Pironon et al",2015,"Plant","Persicaria vivipara","GD",-0.0585442680569765,0.334710090071008,0.578541346898394
"13","Pironon et al",2015,"Plant","Plantago coronopus","ED",0.277424495958404,0.342063782034553,0.584862190635155
"13","Pironon et al",2015,"Plant","Silene acaulis","ED",-0.0329196191246251,0.334475717071107,0.578338756328077
"9","Greiser et al. ",2020,"Plant","Lathyrus vernus","ED",-0.298667078436894,0.080908865072136,0.284444836606566
"11","Moutouma and Gaoue",2024,"Plant","Thunbergia atacorensis ","GD",0.951163031000685,0.392090466837368,0.626171275959995
"11","Moutouma and Gaoue",2024,"Plant","Thunbergia atacorensis ","MD",-0.131408556813832,0.311413839315685,0.558044657098054
